size100_iter1 44.1 100.0
size100_iter2 42.4 95.0
size100_iter3 47.1 100.0
size100_iter4 38.5 100.0
size100_iter5 40.4 100.0
size100_iter6 41.8 95.0
size100_iter7 46.5 95.0
size100_iter8 53.4 95.0
size100_iter9 37.8 95.0
size100_iter10 44.3 100.0
size200_iter1 34.6 90.0
size200_iter2 32.9 87.5
size200_iter3 39.3 97.5
size200_iter4 34.6 92.5
size200_iter5 39.1 95.0
size200_iter6 41.8 97.5
size200_iter7 40.4 95.0
size200_iter8 38.4 97.5
size200_iter9 38.3 90.0
size200_iter10 46.2 97.5
size500_iter1 30.2 85.0
size500_iter2 32.0 89.0
size500_iter3 35.5 94.0
size500_iter4 30.4 86.0
size500_iter5 32.1 89.0
size500_iter6 32.3 87.0
size500_iter7 34.2 86.0
size500_iter8 35.4 87.0
size500_iter9 35.0 92.0
size500_iter10 29.5 86.0
size1000_iter1 31.7 86.0
size1000_iter2 27.7 87.0
size1000_iter3 29.5 83.5
size1000_iter4 28.8 87.0
size1000_iter5 30.6 86.5
size1000_iter6 30.3 89.5
size1000_iter7 30.8 88.0
size1000_iter8 30.6 84.5
size1000_iter9 29.7 87.5
size1000_iter10 29.2 83.0
size2000_iter1 28.4 82.8
size2000_iter2 29.7 83.5
size2000_iter3 28.8 83.3
size2000_iter4 27.7 83.0
size2000_iter5 30.2 84.3
size2000_iter6 28.7 84.5
size2000_iter7 26.9 81.0
size2000_iter8 29.4 86.5
size2000_iter9 30.9 88.8
size2000_iter10 27.4 82.3
